nohup: ignoring input
/home/felicio/Projects/TriplePlay-Sentinel/src/collector/venv/lib/python3.11/site-packages/paramiko/pkey.py:100: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/home/felicio/Projects/TriplePlay-Sentinel/src/collector/venv/lib/python3.11/site-packages/paramiko/transport.py:258: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
2025-06-22 20:34:14,732 - sentinel-collector - INFO - ============================================================
2025-06-22 20:34:14,732 - sentinel-collector - INFO - 🛡️  TriplePlay-Sentinel Collector v2.0 Iniciando
2025-06-22 20:34:14,732 - sentinel-collector - INFO - ============================================================
2025-06-22 20:34:14,732 - sentinel-collector - INFO - Arquitetura: HTTP Agent (PULL)
2025-06-22 20:34:14,732 - sentinel-collector - INFO - Cache TTL: 30s
2025-06-22 20:34:14,732 - sentinel-collector - INFO - Cache Max Size: 1000
2025-06-22 20:34:14,732 - sentinel-collector - INFO - SSH Timeout: 30s
2025-06-22 20:34:14,732 - sentinel-collector - INFO - API Host: 0.0.0.0
2025-06-22 20:34:14,732 - sentinel-collector - INFO - API Port: 5000
2025-06-22 20:34:14,732 - sentinel-collector - INFO - HTTPS Enabled: False
2025-06-22 20:34:14,732 - sentinel-collector - INFO - Auth Enabled: False
2025-06-22 20:34:14,732 - sentinel-collector - INFO - ============================================================
2025-06-22 20:34:14,732 - sentinel-collector - INFO - ✅ Cache inicializado
2025-06-22 20:34:14,732 - sentinel-collector - INFO - ✅ Conector MikroTik inicializado
2025-06-22 20:34:14,732 - sentinel-collector - INFO - ✅ Processador de resultados inicializado
2025-06-22 20:34:14,732 - sentinel-collector - INFO - 🚀 Collector inicializado e pronto para receber requisições
2025-06-22 20:34:14,732 - sentinel-collector - INFO - 📡 Aguardando requisições HTTP do Zabbix...
2025-06-22 20:34:14,732 - sentinel-collector - INFO - 🌐 Iniciando servidor HTTP em 0.0.0.0:5000
 * Serving Flask app 'app'
 * Debug mode: off
2025-06-22 20:34:14,738 - werkzeug - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.17.107.229:5000
2025-06-22 20:34:14,738 - werkzeug - INFO - [33mPress CTRL+C to quit[0m
2025-06-22 20:34:19,730 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:34:19] "GET / HTTP/1.1" 200 -
2025-06-22 20:34:19,823 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:34:19] "GET /static/dashboard.js HTTP/1.1" 200 -
2025-06-22 20:34:19,915 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:34:19] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:34:24,227 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 8.8.8.8
2025-06-22 20:34:24,227 - sentinel-mikrotik - INFO - Estabelecendo nova conexão SSH para 172.16.255.1:38222
2025-06-22 20:34:24,250 - paramiko.transport - INFO - Connected (version 2.0, client ROSSSH)
2025-06-22 20:34:24,550 - paramiko.transport - INFO - Authentication (password) successful!
2025-06-22 20:34:24,550 - sentinel-mikrotik - INFO - Conexão SSH estabelecida com sucesso para 172.16.255.1:38222
2025-06-22 20:34:24,550 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 8.8.8.8 timeout=5s count=10
2025-06-22 20:34:24,556 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:34:24,556 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:34:24] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:34:34,511 - sentinel-collector - INFO - Requisição de teste: 172.16.255.1 -> traceroute -> 10.172.28.1
2025-06-22 20:34:34,511 - sentinel-mikrotik - INFO - Executando comando em 172.16.255.1: /tool traceroute 10.172.28.1 timeout=5s count=10
2025-06-22 20:34:34,516 - sentinel-mikrotik - WARNING - Comando falhou em 172.16.255.1 com exit status 1
2025-06-22 20:34:34,517 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:34:34] "POST /api/test HTTP/1.1" 200 -
2025-06-22 20:34:37,793 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:34:37] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:34:38,724 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:34:38] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:34:49,937 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:34:49] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:35:07,962 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:35:07] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:35:09,073 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:35:09] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:35:20,419 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:35:20] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:35:38,186 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:35:38] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:35:39,231 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:35:39] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:35:50,649 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:35:50] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:36:08,447 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:36:08] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:36:09,494 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:36:09] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:36:20,957 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:36:20] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:36:38,783 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:36:38] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:36:40,028 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:36:40] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:36:51,199 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:36:51] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:37:09,031 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:37:09] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:37:10,288 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:37:10] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:37:21,413 - werkzeug - INFO - 127.0.0.1 - - [22/Jun/2025 20:37:21] "GET /api/health HTTP/1.1" 200 -
2025-06-22 20:37:38,461 - sentinel-collector - INFO - Requisição de teste: 172.25.0.3 -> traceroute -> 8.8.8.8
2025-06-22 20:37:38,462 - sentinel-mikrotik - INFO - Estabelecendo nova conexão SSH para 172.25.0.3:22
2025-06-22 20:38:08,492 - sentinel-mikrotik - ERROR - Erro ao conectar SSH em 172.25.0.3:22: timed out
